Driver,Nationality,Seasons,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion,Championship_Experience,Wins_Per_Season,Podiums_Per_Season,Points_Per_Season,Win_Efficiency,Podium_Efficiency,Pole_Conversion,Nationality_Encoded
Christian Fittipaldi,Brazil,"[1992, 1993, 1994]",0.0,0.2434075043788593,40.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.16496209323404415,0,,1990,0.0,0.9302325581395348,0.0,0.0,0.0,0.2790697674418604,-0.18994150678403982,0,Non-Champion,0.0,0.0,4.0,0.0,0.0,0.0,5
Emerson Fittipaldi,Brazil,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980]",2.0,2.215531285894365,144.0,6.0,1.9654670451085203,2.165972215190336,6.0,0.8470185462602519,0,"[1972, 1974]",1980,0.0402684563758389,0.9664429530201344,0.0939597315436241,0.2348993288590604,0.0402684563758389,1.8859060402684564,2.0959403356914748,1,Champion,1.27,3.18,25.55,0.097,0.243,2.33,5
Pietro Fittipaldi,Brazil,[2020],0.0,-0.5193950903582703,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,2020,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,5
Wilson Fittipaldi,Brazil,"[1972, 1973, 1975]",0.0,0.15038279770359958,35.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.19882018154426223,0,,1970,0.0,0.9210526315789472,0.0,0.0,0.0,0.0789473684210526,-0.18994150678403982,0,Non-Champion,0.0,0.0,1.0,0.0,0.0,0.0,5
Theo Fitzau,East Germany,[1953],0.0,-0.5380000316933222,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,12
Pat Flaherty,United States,"[1950, 1953, 1954, 1955, 1956, 1959]",0.0,-0.44497532501806253,6.0,1.0,-0.0381764761675248,-0.19112694092519905,0.0,-0.18001013248302997,0,,1950,0.1666666666666666,1.0,0.1666666666666666,0.1666666666666666,0.0,1.3333333333333333,0.6672641841442782,0,Non-Champion,0.17,0.17,1.33,0.167,0.167,1.0,43
Jan Flinterman,Netherlands,[1952],0.0,-0.5380000316933222,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,29
Ron Flockhart,United Kingdom,"[1954, 1956, 1957, 1958, 1959, 1960]",0.0,-0.29613579433764703,14.0,0.0,-0.19230290088106675,-0.19112694092519905,0.0,-0.19129616191976934,0,,1960,0.0,1.0,0.0,0.0714285714285714,0.0,0.3571428571428571,0.6672641841442782,0,Non-Champion,0.0,0.17,0.83,0.0,0.071,0.0,42
Myron Fohr,United States,[1950],0.0,-0.5380000316933222,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Gregor Foitek,Switzerland,"[1989, 1990]",0.0,-0.14729626365723147,7.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1990,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,40
George Follmer,United States,[1973],0.0,-0.31474073567269895,12.0,0.0,-0.19230290088106675,-0.19112694092519905,0.0,-0.19129616191976934,0,,1970,0.0,0.9230769230769232,0.0,0.0769230769230769,0.0,0.3846153846153846,-0.7614119674029185,0,Non-Champion,0.0,1.0,5.0,0.0,0.083,0.0,43
George Fonder,United States,"[1952, 1954]",0.0,-0.4635802663531145,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,0.4,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Norberto Fontana,Argentina,[1997],0.0,-0.4821852076881664,4.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,2000,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,0
Asdrúbal Fontes Bayardo,Uruguay,[1959],0.0,-0.5380000316933222,0.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,0.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,,,0.0,44
Carl Forberg,United States,[1951],0.0,-0.5007901490232184,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Gene Force,United States,"[1951, 1960]",0.0,-0.4635802663531145,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,0.4,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Franco Forini,Switzerland,[1987],0.0,-0.5007901490232184,2.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1990,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,40
Philip Fotheringham-Parker,United Kingdom,[1951],0.0,-0.5380000316933222,1.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1950,0.0,1.0,0.0,0.0,0.0,0.0,-0.7614119674029185,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,42
A. J. Foyt,United States,"[1958, 1959, 1960]",0.0,-0.5007901490232184,3.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1960,0.0,1.0,0.0,0.0,0.0,0.0,-0.18994150678403982,0,Non-Champion,0.0,0.0,0.0,0.0,0.0,0.0,43
Giorgio Francia,Italy,"[1977, 1981]",0.0,-0.5193950903582703,0.0,0.0,-0.19230290088106675,-0.26045338669330304,0.0,-0.2101062109810016,0,,1980,0.0,0.0,0.0,0.0,0.0,0.0,-0.4756767370934792,0,Non-Champion,0.0,0.0,0.0,,,0.0,21
