Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9885057471264368,1.0,0.7142857142857143,0.8333333333333334
Decision Tree,0.9942528735632183,1.0,0.8571428571428571,0.9230769230769231
Random Forest,0.9827586206896551,0.8333333333333334,0.7142857142857143,0.7692307692307693
